talent_id,talent_name,birth_year,death_year
nm0000001,Fred Astaire,1899,1987
nm0000021,Joan Fontaine,1917,2013
nm0000023,Judy Garland,1922,1969
nm0000024,John Gielgud,1904,2000
nm0000025,Jerry Goldsmith,1929,2004
nm0000042,Alan Ladd,1913,1964
nm0000072,Elizabeth Taylor,1932,2011
nm0000073,Shirley Temple,1928,2014
nm0000080,Orson Welles,1915,1985
nm0000092,John Cleese,1939,\N
nm0000096,Gillian Anderson,1968,\N
nm0000097,Pamela Anderson,1967,\N
nm0000098,Jennifer Aniston,1969,\N
nm0000100,Rowan Atkinson,1955,\N
nm0000102,Kevin Bacon,1958,\N
nm0000104,Antonio Banderas,1960,\N
nm0000106,Drew Barrymore,1975,\N
nm0000111,Matthew Broderick,1962,\N
nm0000116,James Cameron,1954,\N
nm0000126,Kevin Costner,1955,\N
nm0000130,Jamie Lee Curtis,1958,\N
nm0000138,Leonardo DiCaprio,1974,\N
nm0000141,David Duchovny,1960,\N
nm0000151,Morgan Freeman,1937,\N
nm0000153,Gina Gershon,1962,\N
nm0000154,Mel Gibson,1956,\N
nm0000160,Ethan Hawke,1970,\N
nm0000161,Salma Hayek,1966,\N
nm0000162,Anne Heche,1969,\N
nm0000163,Dustin Hoffman,1937,\N
nm0000168,Samuel L. Jackson,1948,\N
nm0000175,Stephen King,1947,\N
nm0000181,Heather Locklear,1961,\N
nm0000187,Madonna,1958,\N
nm0000189,Jenny McCarthy,1972,\N
nm0000192,Alyssa Milano,1972,\N
nm0000200,Bill Paxton,1955,2017
nm0000207,Christina Ricci,1980,\N
nm0000215,Susan Sarandon,1946,\N
nm0000219,Steven Seagal,1952,\N
nm0000223,Elisabeth Shue,1963,\N
nm0000225,Christian Slater,1969,\N
nm0000238,Shannon Tweed,1957,\N
nm0000245,Robin Williams,1951,2014
nm0000247,John Woo,1946,\N
nm0000250,Renée Zellweger,1969,\N
nm0000252,Robert Ellis,1892,1974
nm0000255,Ben Affleck,1972,\N
nm0000257,Alan Alda,1936,\N
nm0000263,Kirstie Alley,1951,\N
nm0000267,Julie Andrews,1935,\N
nm0000270,Gabrielle Anwar,1970,\N
nm0000272,Fanny Ardant,1949,\N
nm0000273,Alan Arkin,1934,\N
nm0000274,David Arquette,1971,\N
nm0000281,Scott Baio,1960,\N
nm0000285,Alec Baldwin,1958,\N
nm0000295,Kate Beckinsale,1973,\N
nm0000299,Michael Biehn,1956,\N
nm0000300,Juliette Binoche,1964,\N
nm0000305,Mel Blanc,1908,1989
nm0000309,David Bowie,1947,2016
nm0000321,Gabriel Byrne,1950,\N
nm0000326,Kim Cattrall,1956,\N
nm0000327,Lacey Chabert,1982,\N
nm0000330,Stockard Channing,1944,\N
nm0000331,Chevy Chase,1943,\N
nm0000341,Michael Crichton,1942,2008
nm0000348,Tony Curtis,1925,2010
nm0000350,Beverly D'Angelo,1951,\N
nm0000352,Vincent D'Onofrio,1959,\N
nm0000353,Willem Dafoe,1955,\N
nm0000360,Rebecca De Mornay,1959,\N
nm0000366,Catherine Deneuve,1943,\N
nm0000370,Walt Disney,1901,1966
nm0000372,Amanda Donohoe,1962,\N
nm0000378,Minnie Driver,1970,\N
nm0000385,Sam Elliott,1944,\N
nm0000386,Roland Emmerich,1955,\N
nm0000407,Vivica A. Fox,1964,\N
nm0000408,Jonathan Frakes,1952,\N
nm0000410,Stephen Fry,1957,\N
nm0000415,Jami Gertz,1965,\N
nm0000428,D.W. Griffith,1875,1948
nm0000434,Mark Hamill,1951,\N
nm0000447,Marilu Henner,1952,\N
nm0000451,Gaby Hoffmann,1982,\N
nm0000454,Dennis Hopper,1936,2010
nm0000457,John Hurt,1940,2017
nm0000467,Don Johnson,1949,\N
nm0000468,Lynn-Holly Johnson,1958,\N
nm0000469,James Earl Jones,1931,\N
nm0000472,Boris Karloff,1887,1969
nm0000489,Christopher Lee,1922,2015
nm0000491,John Leguizamo,1964,\N
nm0000496,Juliette Lewis,1973,\N
nm0000506,Julia Louis-Dreyfus,1961,\N
nm0000513,William H. Macy,1950,\N
nm0000523,Julianna Margulies,1966,\N
nm0000527,Walter Matthau,1920,2000
nm0000529,Debi Mazar,1964,\N
nm0000556,Olivia Newton-John,1948,\N
nm0000558,Leslie Nielsen,1926,2010
nm0000559,Leonard Nimoy,1931,2015
nm0000563,Chris O'Donnell,1970,\N
nm0000568,Frank Oz,1944,\N
nm0000571,Mary-Louise Parker,1964,\N
nm0000572,Sarah Jessica Parker,1965,\N
nm0000575,Alexandra Paul,1963,\N
nm0000576,Sean Penn,1960,\N
nm0000577,George Peppard,1928,1994
nm0000580,Luke Perry,1966,2019
nm0000590,Edgar Allan Poe,1809,1849
nm0000608,Burt Reynolds,1936,2018
nm0000621,Kurt Russell,1951,\N
nm0000625,Fred Savage,1976,\N
