talent_id,role_id,order
nm0000001,1,1
nm0000001,2,2
nm0000001,3,3
nm0000021,4,1
nm0000021,1,2
nm0000021,5,3
nm0000023,1,1
nm0000023,4,2
nm0000024,2,1
nm0000024,6,2
nm0000024,7,3
nm0000025,10,1
nm0000025,1,2
nm0000025,9,3
nm0000042,2,1
nm0000042,5,2
nm0000042,12,3
nm0000072,4,1
nm0000072,1,2
nm0000072,5,3
nm0000073,4,1
nm0000073,1,2
nm0000073,6,3
nm0000080,2,1
nm0000080,7,2
nm0000080,6,3
nm0000092,2,1
nm0000092,6,2
nm0000092,5,3
nm0000096,4,1
nm0000096,5,2
nm0000096,1,3
nm0000097,4,1
nm0000097,5,2
nm0000097,7,3
nm0000098,4,1
nm0000098,5,2
nm0000098,1,3
nm0000100,2,1
nm0000100,6,2
nm0000100,1,3
nm0000102,2,1
nm0000102,5,2
nm0000102,1,3
nm0000104,2,1
nm0000104,1,2
nm0000104,5,3
nm0000106,5,1
nm0000106,4,2
nm0000106,1,3
nm0000111,2,1
nm0000111,1,2
nm0000111,7,3
nm0000116,6,1
nm0000116,5,2
nm0000116,7,3
nm0000126,2,1
nm0000126,5,2
nm0000126,1,3
nm0000130,4,1
nm0000130,5,2
nm0000130,7,3
nm0000138,2,1
nm0000138,5,2
nm0000138,6,3
nm0000141,2,1
nm0000141,5,2
nm0000141,7,3
nm0000151,2,1
nm0000151,5,2
nm0000151,1,3
nm0000153,4,1
nm0000153,1,2
nm0000153,5,3
nm0000154,2,1
nm0000154,5,2
nm0000154,7,3
nm0000160,2,1
nm0000160,6,2
nm0000160,1,3
nm0000161,4,1
nm0000161,5,2
nm0000161,1,3
nm0000162,4,1
nm0000162,6,2
nm0000162,5,3
nm0000163,2,1
nm0000163,5,2
nm0000163,1,3
nm0000168,2,1
nm0000168,5,2
nm0000168,1,3
nm0000175,6,1
nm0000175,5,2
nm0000175,2,3
nm0000181,4,1
nm0000181,5,2
nm0000181,1,3
nm0000187,1,1
nm0000187,4,2
nm0000187,10,3
nm0000189,4,1
nm0000189,5,2
nm0000189,6,3
nm0000192,4,1
nm0000192,5,2
nm0000192,1,3
nm0000200,2,1
nm0000200,5,2
nm0000200,6,3
nm0000207,4,1
nm0000207,5,2
nm0000207,1,3
nm0000215,4,1
nm0000215,5,2
nm0000215,1,3
nm0000219,2,1
nm0000219,5,2
nm0000219,6,3
nm0000223,4,1
nm0000223,1,2
nm0000223,5,3
nm0000225,2,1
nm0000225,5,2
nm0000225,1,3
nm0000238,4,1
nm0000238,5,2
nm0000238,16,3
nm0000245,2,1
nm0000245,1,2
nm0000245,6,3
nm0000247,5,1
nm0000247,7,2
nm0000247,6,3
nm0000250,4,1
nm0000250,1,2
nm0000250,5,3
nm0000252,2,1
nm0000252,7,2
nm0000252,6,3
nm0000255,5,1
nm0000255,2,2
nm0000255,6,3
nm0000257,2,1
nm0000257,3,2
nm0000257,1,3
nm0000263,4,1
nm0000263,5,2
nm0000263,6,3
nm0000267,4,1
nm0000267,1,2
nm0000267,5,3
nm0000270,4,1
nm0000270,5,2
nm0000270,1,3
nm0000272,4,1
nm0000272,7,2
nm0000272,6,3
nm0000273,2,1
nm0000273,1,2
nm0000273,7,3
nm0000274,5,1
nm0000274,2,2
