talent_id,title_id
nm0002498,tt4840804
nm0002574,tt0130623
nm0002690,tt0306998
nm0003655,tt0130623
nm0003823,tt0096870
nm0004020,tt0130623
nm0004960,tt0100711
nm0005343,tt0130623
nm0007302,tt0155476
nm0007540,tt0206220
nm0007939,tt0335306
nm0008467,tt0130623
nm0008714,tt0208892
nm0008876,tt1400438
nm0009768,tt0110878
nm0010442,tt0022811
nm0010616,tt0071263
nm0011132,tt0089208
nm0013370,tt1537408
nm0013575,tt0096870
nm0014198,tt0271745
nm0014242,tt2187976
nm0014507,tt0130623
nm0014752,tt2884018
nm0014788,tt0260011
nm0014843,tt0249568
nm0014878,tt2377720
nm0015478,tt7368068
nm0015754,tt1321355
nm0016317,tt0194128
nm0016368,tt0130623
nm0016617,tt0054632
nm0016756,tt0138512
nm0017620,tt8740898
nm0017811,tt2855060
nm0018355,tt0055904
nm0019209,tt0098143
nm0019378,tt1616362
nm0019874,tt0089208
nm0020202,tt0210210
nm0020806,tt0164827
nm0021302,tt1843230
nm0022479,tt0211561
nm0023256,tt0130623
nm0023929,tt0098143
nm0024390,tt0142465
nm0024608,tt0113438
nm0024662,tt0192791
nm0025097,tt0094321
nm0025288,tt0076393
nm0025563,tt0096870
nm0026868,tt0104513
nm0027117,tt1558259
nm0028339,tt0098143
nm0028360,tt0160828
nm0028898,tt0072544
nm0029746,tt0022811
nm0030930,tt0246965
nm0031899,tt0231383
nm0032231,tt0203580
nm0032348,tt0269157
nm0033551,tt0274350
nm0033976,tt1062219
nm0033987,tt0269157
nm0033996,tt0081525
nm0034012,tt0050772
nm0034149,tt0155476
nm0034798,tt0291320
nm0035133,tt0046960
nm0035351,tt0027911
nm0036391,tt0130623
nm0036722,tt0246965
nm0038098,tt0091762
nm0038383,tt0780506
nm0039180,tt3521430
nm0040944,tt0231383
nm0040958,tt0130623
nm0042082,tt0246965
nm0042225,tt0089208
nm0042896,tt1843230
nm0043124,tt0164827
nm0043775,tt0190113
nm0043813,tt0206220
nm0044173,tt0071263
nm0044634,tt0249568
nm0045237,tt0211561
nm0046255,tt0263908
nm0047248,tt1843230
nm0047664,tt4164684
nm0047673,tt0203580
nm0047823,tt0117305
nm0048415,tt0089208
nm0049172,tt0246965
nm0049222,tt0249568
nm0050097,tt10305328
nm0050530,tt0039323
nm0051210,tt0054632
nm0053289,tt0054632
nm0053782,tt0184758
nm0053950,tt0202236
nm0054429,tt0107057
nm0054547,tt0206220
nm0054622,tt0380531
nm0054963,tt0118614
nm0055359,tt6066714
nm0056188,tt0194128
nm0056252,tt0080241
nm0056587,tt0172834
nm0056822,tt0380531
nm0058430,tt0058450
nm0058478,tt0017703
nm0059683,tt0089208
nm0059924,tt5157466
nm0060664,tt2033236
nm0060947,tt0080241
nm0061708,tt1861325
nm0061738,tt0082809
nm0062496,tt0067412
nm0062710,tt0202236
nm0062996,tt0098143
nm0063043,tt0245644
nm0063154,tt0112157
nm0064151,tt0045678
nm0064570,tt0055904
nm0064961,tt0425659
nm0065086,tt0130623
nm0065325,tt0062295
nm0065515,tt3567802
nm0065636,tt0325052
nm0065744,tt0113438
nm0065747,tt0113438
nm0066295,tt0130623
nm0066505,tt0309586
nm0066736,tt1843230
nm0066820,tt0055904
nm0066930,tt0130623
nm0068214,tt0076393
nm0069802,tt0130623
nm0070173,tt0249568
nm0070308,tt0249568
nm0070619,tt0066135
nm0070909,tt0066135
nm0071143,tt0206220
nm0071173,tt0226152
nm0072011,tt0027911
nm0072090,tt0089208
nm0072227,tt0058450
nm0073044,tt0305703
nm0073123,tt0246965
nm0073244,tt0066135
nm0073319,tt0249568
nm0074793,tt1843230
nm0075913,tt0274350
nm0075934,tt0274350
nm0077297,tt0249568
nm0077843,tt0226152
nm0078052,tt10305328
nm0078097,tt0054632
nm0078135,tt0126690
nm0078511,tt0155476
nm0078883,tt0055904
nm0079256,tt7846666
nm0079723,tt0244335
nm0080645,tt0049498
nm0082219,tt6264044
nm0084025,tt0269157
nm0084878,tt0871886
nm0086014,tt0089208
nm0087442,tt0058450
nm0087491,tt0058450
nm0088104,tt0130623
nm0088449,tt0007579
nm0088968,tt0226152
nm0089118,tt0130623
nm0089561,tt0114719
nm0090014,tt0048237
nm0090216,tt0091762
nm0090776,tt0058450
nm0091406,tt0040589
nm0093037,tt0263908
nm0093315,tt0113438
nm0093434,tt0041863
nm0094553,tt2884018
nm0095760,tt0244335
nm0096099,tt6449106
nm0096204,tt9272886
nm0097594,tt0091762
nm0098290,tt0130623
nm0098805,tt0249568
