title_id,content_type_id,primary_title,original_title,is_adult,start_year,end_year,runtime_minutes
tt0001256,1,The House with Closed Shutters,The House with Closed Shutters,0,1910,\N,16
tt0002518,1,A Tangled Marriage,A Tangled Marriage,0,1912,\N,\N
tt0003775,1,The City Beautiful,The City Beautiful,0,1914,\N,10
tt0005046,1,Cactus Jim's Shop Girl,Cactus Jim's Shop Girl,0,1915,\N,\N
tt0006308,2,A Woman's Resurrection,A Woman's Resurrection,0,1915,\N,\N
tt0007579,2,The Woman in 47,The Woman in 47,0,1916,\N,\N
tt0008847,1,The Art Bug,The Art Bug,0,1918,\N,\N
tt0010108,2,The Fall of Babylon,The Fall of Babylon,0,1919,\N,82
tt0011376,1,Kärlek och björnjakt,Kärlek och björnjakt,0,1920,\N,39
tt0012644,2,Salvation Nell,Salvation Nell,0,1921,\N,\N
tt0013919,2,Chastity,Chastity,0,1923,\N,\N
tt0015190,2,On Probation,On Probation,0,1924,\N,\N
tt0016449,2,The Trail Rider,The Trail Rider,0,1925,\N,50
tt0017703,2,Broadway Nights,Broadway Nights,0,1927,\N,72
tt0018969,2,Gypsy of the North,Gypsy of the North,0,1928,\N,\N
tt0020243,2,One Stolen Night,One Stolen Night,0,1929,\N,58
tt0021527,2,The Voice from the Sky,The Voice from the Sky,0,1929,\N,\N
tt0022811,2,Detective Lloyd,Detective Lloyd,0,1932,\N,216
tt0024093,2,The Hayseeds,The Hayseeds,0,1934,\N,98
tt0025359,2,The Women Around Larsson,Kvinnorna kring Larsson,0,1934,\N,104
tt0026641,2,The Littlest Rebel,The Littlest Rebel,0,1935,\N,73
tt0027911,2,Love and Sacrifice,Love and Sacrifice,0,1936,\N,75
tt0029177,1,The Lyin' Mouse,The Lyin' Mouse,0,1937,\N,7
tt0030448,1,Mickey's Trailer,Mickey's Trailer,0,1938,\N,8
tt0031721,2,"Nick Carter, Master Detective","Nick Carter, Master Detective",0,1939,\N,59
tt0032995,1,Rockin' Thru the Rockies,Rockin' Thru the Rockies,0,1940,\N,17
tt0034263,1,The Tanks Are Coming,The Tanks Are Coming,0,1941,\N,20
tt0035522,2,La vita torna,La vita torna,0,1943,\N,76
tt0036791,2,Enemy of Women,Enemy of Women,0,1944,\N,72
tt0038060,1,The Screwy Truant,The Screwy Truant,0,1945,\N,7
tt0039323,2,The Kneeling Goddess,La diosa arrodillada,0,1947,\N,107
tt0040589,2,La mies es mucha,La mies es mucha,0,1949,\N,142
tt0041863,2,Shamrock Hill,Shamrock Hill,0,1949,\N,70
tt0043136,1,Wild Boar Hunt,Wild Boar Hunt,0,1940,\N,10
tt0044408,2,The Belle of New York,The Belle of New York,0,1952,\N,82
tt0045678,2,Desert Legion,Desert Legion,0,1953,\N,86
tt0046960,2,Service Entrance,Escalier de service,0,1954,\N,94
tt0048237,2,Jumping for Joy,Jumping for Joy,0,1956,\N,91
tt0049498,2,Mi permette babbo!,Mi permette babbo!,0,1956,\N,90
tt0050772,2,No Road Back,No Road Back,0,1957,\N,83
tt0052062,2,Petersburg Nights,Petersburger Nächte,0,1958,\N,89
tt0053354,2,The 39 Steps,The 39 Steps,0,1959,\N,93
tt0054632,2,Last Year at Marienbad,L'année dernière à Marienbad,0,1961,\N,94
tt0055904,2,The Devil and the Ten Commandments,Le Diable et les Dix Commandements,0,1962,\N,126
tt0057180,2,The Incredible Journey,The Incredible Journey,0,1963,\N,80
tt0058450,2,The Umbrellas of Cherbourg,Les parapluies de Cherbourg,0,1964,\N,91
tt0059723,2,Zui ren xia ji,Zui ren xia ji,0,1965,\N,\N
tt0061006,3,Spaceship to the Unknown,Spaceship to the Unknown,0,1966,\N,97
tt0062295,2,Die Spaßvögel,Die Spaßvögel,0,1967,\N,\N
tt0063578,3,Selbstbedienung,Selbstbedienung,0,1967,\N,90
tt0064856,2,Pyasi Sham,Pyasi Sham,0,1969,\N,\N
tt0066135,2,Nevesta,Nevesta,0,1970,\N,92
tt0067412,2,Me debes un muerto,Me debes un muerto,0,1971,\N,100
tt0068683,2,Main Thing Holidays,Hauptsache Ferien,0,1972,\N,103
tt0069971,3,Diamonds on Wheels,Diamonds on Wheels,0,1973,\N,84
tt0071263,2,Los caballeros del Botón de Ancla,Los caballeros del Botón de Ancla,0,1974,\N,106
tt0072544,4,Medical Story,Medical Story,0,1975,1976,60
tt0073823,2,The True Way,The True Way,1,1973,\N,55
tt0075111,2,Pure S,Pure S,0,1975,\N,85
tt0076393,3,Minstrel Man,Minstrel Man,0,1977,\N,100
tt0077665,2,Heaven Sword and Dragon Sabre 2,Yi tian tu long ji da jie ju,0,1978,\N,98
tt0078947,2,Cause toujours... tu m'intéresses!,Cause toujours... tu m'intéresses!,0,1979,\N,97
tt0080241,4,Marie,Marie,0,1980,1981,60
tt0081525,3,The Sky Is Gray,The Sky Is Gray,0,1980,\N,46
tt0082809,3,Niemandsland,Niemandsland,0,1981,\N,\N
tt0084085,2,The Wounded Man,L'homme blessé,0,1983,\N,109
tt0085377,3,Credo,Credo,0,1983,\N,90
tt0086656,3,"Ök tudják, mi a szerelem","Ök tudják, mi a szerelem",0,1983,\N,56
tt0087933,2,Poppers,Poppers,0,1984,\N,83
tt0089208,2,Girls Just Want to Have Fun,Girls Just Want to Have Fun,0,1985,\N,90
tt0090488,4,The New Gidget,The New Gidget,0,1986,1988,30
tt0091762,2,Plastposen,Plastposen,0,1986,\N,88
tt0093040,2,Forest of Bliss,Forest of Bliss,0,1986,\N,90
tt0094321,2,Who's That Girl,Who's That Girl,0,1987,\N,92
tt0095590,6,Mariya,Mariya,0,1988,\N,40
tt0096870,2,Going Overboard,Going Overboard,0,1989,\N,99
tt0098143,9,Puppetmaster,Puppetmaster,0,1989,\N,90
tt0099426,2,Bullet in the Head,Dip huet gai tau,0,1990,\N,136
tt0100711,3,Sudie and Simpson,Sudie and Simpson,0,1990,\N,95
tt0101981,2,Gui gan bu,Gui gan bu,0,1991,\N,93
tt0103246,3,Which Way Home,Which Way Home,0,1991,\N,180
tt0104513,9,Insomniac's Nightmare,Insomniac's Nightmare,0,1992,\N,22
tt0105786,2,Kindan no sono: Za seifuku rezu,Kindan no sono: Za seifuku rezu,0,1992,\N,61
tt0107057,2,Guilty as Sin,Guilty as Sin,0,1993,\N,107
tt0108336,2,Angel's Project,Tian shi kuang long,0,1993,\N,89
tt0109609,1,Destiny in Space,Destiny in Space,0,1994,\N,40
tt0110878,2,La poudre aux yeux,La poudre aux yeux,0,1995,\N,95
tt0112157,4,Erotic Tales,Erotic Tales,0,1996,\N,30
tt0113438,2,Iron Eagle IV,Iron Eagle IV,0,1995,\N,96
tt0114719,1,Transit,Transit,0,1995,\N,27
tt0116015,2,Non-Stop,Dangan ranna,0,1996,\N,82
tt0117305,2,Passage to Paradise,Passaggio per il paradiso,0,1998,\N,97
tt0118614,2,Amy,Amy,0,1997,\N,104
tt0119919,1,Popcorn,Popcorn,0,1997,\N,\N
tt0121346,2,Das Haus des Dr. Gaudeamus,Das Haus des Dr. Gaudeamus,0,1921,\N,\N
tt0122724,2,Soldaterkammerater på efterårsmanøvre,Soldaterkammerater på efterårsmanøvre,0,1961,\N,85
tt0124058,2,The Girl and the Viscount,Pigen og greven,0,1966,\N,96
tt0125367,9,Like Father Like Son,Like Father Like Son,1,1996,\N,90
tt0126690,2,Tales of Glamour and Excess,Tales of Glamour and Excess,0,1997,\N,\N
tt0128000,4,Monster Squad,Monster Squad,0,1976,1976,30
tt0129301,2,A Pesca do Atum,A Pesca do Atum,0,1939,\N,10
tt0130623,2,Dinosaur,Dinosaur,0,2000,\N,82
tt0131925,2,Bang Bash,Bang Bash,1,1979,\N,\N
tt0133239,2,The Dream Road of the World Part 2,Traumstraße der Welt - 2. Teil,0,1962,\N,96
tt0134553,9,Return of the Cheerleader Nurses,Return of the Cheerleader Nurses,1,1993,\N,84
tt0135883,9,Depths of Domination,Depths of Domination,0,1993,\N,\N
tt0137191,1,Resonance,Resonance,0,1991,\N,11
tt0138512,1,Igra Kolo,Igra Kolo,0,1995,\N,\N
tt0139872,2,Avvai Shanmugi,Avvai Shanmugi,0,1996,\N,161
tt0141180,2,Hot School Reunion,Hot School Reunion,1,1984,\N,65
tt0142465,2,The Sexy Secrets of the Kiss-o-gram Girls,The Sexy Secrets of the Kiss-o-gram Girls,1,1986,\N,88
tt0143782,2,One Only Loves Once,On n'aime qu'une fois,0,1950,\N,82
tt0145093,1,Carioco y su invención,Carioco y su invención,0,1967,\N,11
tt0146408,1,African Huntsmen,African Huntsmen,0,1925,\N,\N
