title_id,talent_id,order,category_id,job,role_names
tt0001256,nm0041858,10,7,\N,\N
tt0001256,nm0910400,1,7,\N,Charles Randolph - The Confederate Soldier
tt0001256,nm0922044,2,8,\N,Agnes Randolph - Charles' Sister
tt0001256,nm0376442,3,8,\N,The Randolph's Mother
tt0001256,nm0921980,4,7,\N,Agnes's First Suitor
tt0001256,nm0000428,5,2,\N,\N
tt0001256,nm0355555,6,9,writer,\N
tt0001256,nm0005658,7,3,\N,\N
tt0001256,nm0337033,8,7,\N,Agnes's Second Suitor
tt0001256,nm0125164,9,7,\N,The Colored Servant
tt0002518,nm0925310,1,8,\N,Pearl
tt0002518,nm0055865,2,7,\N,Chester
tt0002518,nm0806565,3,2,\N,\N
tt0003775,nm0717468,1,7,\N,The Country Boy
tt0003775,nm0321088,2,8,\N,The City Girl
tt0003775,nm0127511,3,2,\N,\N
tt0005046,nm0594291,1,7,\N,Cactus Jim
tt0005046,nm0103619,2,7,\N,Minor Role
tt0005046,nm0173459,3,8,\N,Nell Morton - the Shop Girl
tt0005046,nm0430187,4,7,\N,A Ranch Hand
tt0005046,nm0168915,5,9,written by,\N
tt0005046,nm0783152,6,5,producer,\N
tt0005046,nm0721840,7,7,\N,Sales Girl
tt0006308,nm0840049,10,8,\N,Princess Kerschagen
tt0006308,nm0116050,1,8,\N,Countess Sophia Ivanovna
tt0006308,nm0202592,2,7,\N,Prince Kerschagen
tt0006308,nm0392059,3,7,\N,Jacoby
tt0006308,nm0393818,4,7,\N,Ivan Shonbock
tt0006308,nm0250053,5,2,\N,\N
tt0006308,nm0866243,6,9,novel,\N
tt0006308,nm0446953,7,7,\N,Prince Dimitri Nekhludoff
tt0006308,nm0521155,8,8,\N,Missie
tt0006308,nm0620938,9,8,\N,Katusha Maslova
tt0007579,nm0740321,10,7,\N,Godfrey Sharpless
tt0007579,nm0103567,1,8,\N,Viola Donizetti
tt0007579,nm0713383,2,7,\N,Tony
tt0007579,nm2743412,3,7,\N,Tony's Cousin
tt0007579,nm0578476,4,7,\N,Pasquale Donizetti
tt0007579,nm0410271,5,2,\N,\N
tt0007579,nm0152165,6,9,\N,\N
tt0007579,nm0088449,7,7,\N,Mr. Collingswood
tt0007579,nm0174266,8,8,\N,Mrs. Collingswood
tt0007579,nm0569886,9,7,\N,Mr. Sharpless
tt0008847,nm0280841,1,7,\N,\N
